data,valor_fechamento,criptomoeda,volume_compra,volume_venda,change,gain,loss,avg_gain,avg_loss,rs,rsi,ema_short,ema_long,macd,macd_signal,indicativo_macd,max_50,gradiente_ema_curto,gradiente_ema_longo
2025-09-06 10:30:00,203.07,SOLUSDT,18544.736,3762059.04466,0.4899999999999807,0.4899999999999807,-0.0,0.1290918322879667,0.1338352894007628,0.964557500984721,49.097952108871496,202.89668756835508,203.2519259565832,-0.35523838822811626,-0.383352206419821,Alta,204.41,-0.05999062304457793,-0.02836808152384369
2025-09-06 10:45:00,202.91,SOLUSDT,9587.657,1945776.15958,-0.1599999999999966,0.0,0.1599999999999966,0.1198709871245405,0.13570419730070807,0.8833255677340427,46.90243592863404,202.90001567626632,203.2352466416279,-0.3352309653615748,-0.3737279582081718,Alta,204.41,-0.024242967283412704,-0.022935492181226917
2025-09-06 11:00:00,202.84,SOLUSDT,4883.127,989943.08563,-0.06999999999999318,0.0,0.06999999999999318,0.1113087737585019,0.131011040350657,0.849613692560405,45.93465630027272,202.88501175719975,203.21596631764604,-0.3309545604462869,-0.36517327865579485,Alta,204.41,-0.0019322254625731337,-0.018645955977257034
2025-09-06 11:15:00,202.42,SOLUSDT,44725.204,9055821.99465,-0.4200000000000159,0.0,0.4200000000000159,0.10335814706146605,0.15165310889703978,0.6815432127516613,40.530817619393225,202.76875881789982,203.177138692395,-0.4083798744951821,-0.3738145978236723,Baixa,204.41,-0.015199169096923825,-0.020419323978374888
2025-09-06 11:30:00,202.17,SOLUSDT,27866.703,5630233.80567,-0.25,0.0,0.25,0.09597542227136134,0.1586778868329655,0.6048443433859894,37.68866095199334,202.61906911342487,203.1280099756928,-0.5089408622679343,-0.40083985071252476,Baixa,204.41,-0.0686493768227067,-0.03059399110137774
2025-09-06 11:45:00,202.38,SOLUSDT,6970.575,1410754.26385,0.21000000000000796,0.21000000000000796,-0.0,0.10412003496626467,0.14734375205918224,0.7066470991212692,41.4055781939402,202.55930183506865,203.09152168419558,-0.5322198491269319,-0.4271158503954062,Baixa,204.41,-0.09473703261705001,-0.037540625681798695
2025-09-06 12:00:00,202.57,SOLUSDT,5431.471,1100153.47442,0.18999999999999773,0.18999999999999773,-0.0,0.11025431818295987,0.13681919834066922,0.8058395277864087,44.62409396776267,202.5619763763015,203.0660816020397,-0.5041052257382148,-0.44251372546396794,Baixa,204.41,-0.0855527744627604,-0.038538643941215076
2025-09-06 12:15:00,202.73,SOLUSDT,5362.473,1086583.07975,0.1599999999999966,0.1599999999999966,-0.0,0.11380758116989106,0.12704639845919283,0.8957954145110689,47.25169222661598,202.60398228222613,203.04968737754996,-0.44570509532383085,-0.4431519994359406,Baixa,204.41,-0.0386645808470659,-0.03168310033433783
2025-09-06 12:30:00,202.42,SOLUSDT,9877.439,2000219.19875,-0.3100000000000023,0.0,0.3100000000000023,0.10567846822918456,0.14011451285496493,0.7542292805783385,42.99490887130115,202.5579867116696,203.0189709201085,-0.46098420843890153,-0.4467184412365328,Baixa,204.41,-0.0077484356353048406,-0.025991241781446253
2025-09-06 12:45:00,202.27,SOLUSDT,8893.237,1799497.78178,-0.14999999999997726,0.0,0.14999999999997726,0.09813000621281423,0.14082061907960866,0.696844019392781,41.06706399814804,202.48599003375222,202.98243575327393,-0.49644571952171646,-0.45666389689356957,Baixa,204.41,-0.015061326726481064,-0.026528254377466018
2025-09-06 13:00:00,202.14,SOLUSDT,8178.076,1653436.35593,-0.13000000000002387,0.0,0.13000000000002387,0.09112072005475606,0.14004771771678118,0.6506405212474059,39.41745721568196,202.39949252531414,202.94134132628494,-0.5418488009707971,-0.4737008777090151,Baixa,204.41,-0.04429599504485153,-0.0316732175785852
2025-09-06 13:15:00,202.05,SOLUSDT,8557.952,1729702.68768,-0.08999999999997499,0.0,0.08999999999997499,0.08461209719370207,0.1364728807370093,0.6199920213947429,38.2713009204179,202.3121193939856,202.8978612615881,-0.5857418676025077,-0.4961090756877136,Baixa,204.41,-0.07422199628365053,-0.038128182574735235
2025-09-06 13:30:00,201.66,SOLUSDT,39510.858,7967712.92786,-0.3900000000000148,0.0,0.3900000000000148,0.0785683759655805,0.15458196068436683,0.5082635491084586,33.69858997181862,202.1490895454892,202.83747778541306,-0.688388239923853,-0.5345649085349415,Baixa,204.41,-0.09916649721273181,-0.044756076107681765
2025-09-06 13:45:00,202.33,SOLUSDT,18464.591,3730724.47118,0.6700000000000159,0.6700000000000159,-0.0,0.12081349196804017,0.14354039206405492,0.8416689562484067,45.70142497069279,202.1943171591169,202.81272277149046,-0.6184056123735502,-0.5513330493026632,Baixa,204.41,-0.08337487290958383,-0.044328950443870634
2025-09-06 14:00:00,202.17,SOLUSDT,13356.359,2704347.85778,-0.160000000000025,0.0,0.160000000000025,0.11218395682746587,0.14471607834519565,0.7752003655037562,43.66833066101663,202.18823786933768,202.78137044117383,-0.5931325718361506,-0.5596929538093608,Baixa,204.41,-0.05403115468216565,-0.04050802603200928
2025-09-06 14:15:00,202.32,SOLUSDT,35606.373,7195999.29733,0.15000000000000568,0.15000000000000568,-0.0,0.11488510276836159,0.1343792156062531,0.854932083433114,46.08967040188356,202.22117840200326,202.75886456599463,-0.537686163991367,-0.555291595845762,Alta,204.38,-0.014273366011614982,-0.03341007354261952
2025-09-06 14:30:00,202.44,SOLUSDT,13275.915,2687107.51219,0.12000000000000455,0.12000000000000455,-0.0,0.1152504525706218,0.12478070020580645,0.9236240250337915,48.01478942942432,202.27588380150246,202.7433101969217,-0.46742639541923836,-0.5377185557604574,Alta,204.38,0.028044975491280866,-0.024219338247862425
2025-09-06 14:45:00,202.05,SOLUSDT,11458.68,2315862.65366,-0.38999999999998636,0.0,0.38999999999998636,0.10701827738700596,0.14372493590539073,0.7446048016153055,42.68042830822695,202.21941285112683,202.70949018731577,-0.4900773361889321,-0.5281903118461523,Alta,204.38,0.013783731618466421,-0.02445254126016297
2025-09-06 15:00:00,201.52,SOLUSDT,21301.07,4298147.5268,-0.5300000000000011,0.0,0.5300000000000011,0.09937411471650555,0.17131601191214862,0.5800632037095569,36.71139245238588,202.04455963834513,202.65146627573938,-0.6069066373942462,-0.543933576955771,Baixa,204.38,-0.028912201286178392,-0.030918270954783406
2025-09-06 15:15:00,202.15,SOLUSDT,9407.512,1899968.72255,0.6299999999999955,0.6299999999999955,-0.0,0.13727596366532627,0.15907915391842373,0.8629412483279978,46.321441918927576,202.07091972875884,202.6270045061911,-0.556084777432261,-0.5463638170510691,Baixa,204.38,-0.053184150964643344,-0.03555640407893737
