data,valor_fechamento,criptomoeda,volume_compra,volume_venda,change,gain,loss,avg_gain,avg_loss,rs,rsi,variacao_diaria,total_linhas,ano,mes,ema_short,ema_long,macd,macd_signal,indicativo_macd,grad_n3,grad_n5,grad_n7,grad_n10,max_50,gradiente_ema_curto,gradiente_ema_longo
2025-09-06 04:45:00,203.23,SOLUSDT,6183.638,1257688.82671,-0.010000000000019327,0.0,0.010000000000019327,0.1320426386144132,0.1571383865018334,0.840295242645072,45.660893055252835,-0.004920291281251821,192,2025,9,203.59920273610024,203.62975369795808,-0.03055096185784123,0.22403567875836555,Baixa,-0.1419121751500921,-0.11952344131791888,-0.08261633778946027,-0.02453133524387721,204.41,-0.11952344131791888,-0.011552624647095087
2025-09-06 05:00:00,203.27,SOLUSDT,18033.613,3664564.60483,0.040000000000020464,0.040000000000020464,-0.0,0.12546816442767086,0.14591421603741672,0.8598762192951585,46.23298101101737,0.019682133543286184,192,2025,9,203.51690205207518,203.61220473708207,-0.09530268500688521,0.16016800600531542,Baixa,-0.10268413136257581,-0.11314258098843924,-0.1044622533421153,-0.0523075923419979,204.41,-0.11314258098843924,-0.01557444783503738
2025-09-06 05:15:00,202.74,SOLUSDT,66740.35,13535323.9958,-0.5300000000000011,0.0,0.5300000000000011,0.11650615268283723,0.17334891489188703,0.6720904642264356,40.194623353549645,-0.2607369508535462,192,2025,9,203.32267653905637,203.56965816454147,-0.24698162548509117,0.07873807970723411,Baixa,-0.13826309852192145,-0.13260693574133833,-0.12236454714943219,-0.07879130031711028,204.41,-0.13260693574133833,-0.024131791843067095
2025-09-06 05:30:00,202.37,SOLUSDT,24062.187,4874695.07498,-0.37000000000000455,0.0,0.37000000000000455,0.10818428463406314,0.18739542097103828,0.5773048459427559,36.60071465752078,-0.1824997533787176,192,2025,9,203.08450740429228,203.51113825407603,-0.42663084978374854,-0.022335706190962427,Baixa,-0.2161973238914488,-0.15520520180597155,-0.1390948389334942,-0.1100934752378374,204.41,-0.15520520180597155,-0.03383268004584979
2025-09-06 05:45:00,202.26,SOLUSDT,19052.439,3854124.4286,-0.11000000000001364,0.0,0.11000000000001364,0.10045683573163007,0.1818671766159651,0.5523637502975979,35.58210826500596,-0.054355882788958976,192,2025,9,202.87838055321922,203.45010711973086,-0.5717265665116429,-0.13221387825509853,Baixa,-0.22214799291860915,-0.18740390135449297,-0.16307112920013397,-0.1349640458223164,204.41,-0.18740390135449297,-0.046035963946057315
2025-09-06 06:00:00,202.63,SOLUSDT,16861.414,3411681.478,0.37000000000000455,0.37000000000000455,-0.0,0.11970991889365681,0.16887666400053902,0.7088600405635365,41.481456862305315,0.18293285869672715,192,2025,9,202.8162854149144,203.41010189437813,-0.593816479463726,-0.22453439849682402,Baixa,-0.13411099468893048,-0.18455292601588158,-0.1639997754715241,-0.14637454951826032,204.41,-0.18455292601588158,-0.05237567302185715
2025-09-06 06:15:00,202.37,SOLUSDT,21521.0,4355043.22578,-0.2599999999999909,0.0,0.2599999999999909,0.11115921040125276,0.17538547371478558,0.6337994136391335,38.79297595213388,-0.1283126881508112,192,2025,9,202.7047140611858,203.35936521660358,-0.6546511554177812,-0.3105577498810155,Baixa,-0.08683324601672361,-0.15041469451193837,-0.16174983160363232,-0.14878091213868555,204.41,-0.15041469451193837,-0.052162225557371995
2025-09-06 06:30:00,202.4,SOLUSDT,14702.701,2976429.30036,0.030000000000001137,0.030000000000001137,-0.0,0.10536212394402049,0.1628579398780152,0.6469572439817146,39.28196960460362,0.014824331669704982,192,2025,9,202.62853554588935,203.3125669133546,-0.6840313674652521,-0.3852524733978628,Baixa,-0.09387493451256629,-0.10856102088392709,-0.1489016594170105,-0.14837356289189724,204.41,-0.10856102088392709,-0.048788458457047684
2025-09-06 06:45:00,202.44,SOLUSDT,7280.985,1474019.0691,0.03999999999999204,0.03999999999999204,-0.0,0.10069340080516131,0.1512252298867284,0.665850538832596,39.970605003928775,0.019762845849791155,192,2025,9,202.581401659417,203.27000267367876,-0.6886010142617636,-0.44592218157064295,Baixa,-0.06165620088435992,-0.07817076566294155,-0.11819410170562118,-0.13847714186588306,204.41,-0.07817076566294155,-0.045774387312776166
2025-09-06 07:00:00,202.84,SOLUSDT,12954.767,2623780.26237,0.4000000000000057,0.4000000000000057,-0.0,0.12207244360479305,0.1404234277519621,0.869316791072901,46.504519470664654,0.19758940920766577,192,2025,9,202.64605124456276,203.2490269334993,-0.6029756889365387,-0.47733288304382215,Baixa,0.008757849336696965,-0.04637807424723618,-0.07489557627920648,-0.11999422003577072,204.41,-0.04637807424723618,-0.041151246468278
